Pos.,Club,Seasons,Pld,W,D,L,GF,GA,GD,Pts,PPG,1st,2nd,3rd,4th,5th,6th,7th,T4,T7,Debut,Since/Last App.,Relegated,BestPos.
1,Manchester United,31,1190,726,263,201,2243,1109,1134,2441,1.883,13,7,5,1,1,3,1,26,31,1992-93,1992-93,0,1
2,Arsenal,31,1190,645,290,255,2105,1191,914,2225,1.87,3,7,5,7,4,1,0,22,27,1992-93,1992-93,0,1
3,Chelsea,31,1190,629,295,266,2011,1172,839,2182,1.834,5,4,6,4,2,4,0,19,25,1992-93,1992-93,0,1
4,Liverpool,31,1190,628,292,270,2096,1194,902,2176,1.829,1,5,6,7,3,3,3,19,28,1992-93,1992-93,0,1
5,Tottenham Hotspur,31,1190,520,287,383,1815,1501,314,1847,1.573,0,1,2,4,5,2,2,7,16,1992-93,1992-93,0,2
6,Manchester City,26,1000,501,215,284,1752,1101,651,1718,1.718,7,3,2,1,1,0,0,13,14,1992-93,2002-03,2,1
7,Everton,31,1190,426,332,432,1525,1538,-13,1610,1.353,0,0,0,1,3,3,4,1,11,1992-93,1992-93,0,4
8,Newcastle United,28,1072,401,278,393,1445,1450,-5,1481,1.382,0,2,2,2,2,1,1,6,10,1993-94,2017-18,2,2
9,Aston Villa,28,1072,372,303,401,1316,1399,-83,1419,1.324,0,1,0,1,1,6,2,2,11,1992-93,2019-20,1,2
10,West Ham United,27,1034,346,260,428,1277,1484,-207,1298,1.255,0,0,0,0,1,1,3,0,5,1993-94,2012-13,2,5
11,Southampton,24,924,280,248,396,1114,1355,-241,1088,1.177,0,0,0,0,0,1,1,0,2,1992-93,2022-23,2,6
12,Blackburn Rovers,18,696,262,184,250,927,907,20,970,1.394,1,1,0,1,0,3,2,3,8,1992-93,2011-12,2,1
13,Leicester City,17,650,218,167,265,871,936,-65,821,1.263,1,0,0,0,2,0,0,1,3,1994-95,2022-23,4,1
14,Leeds United,15,582,223,151,208,793,784,9,820,1.409,0,0,1,2,4,0,0,3,7,1992-93,2022-23,2,3
15,Fulham,16,608,177,161,270,686,884,-198,692,1.138,0,0,0,0,0,0,1,0,1,2001-02,2022-23,3,7
16,Middlesbrough,15,574,165,169,240,648,794,-146,661,1.152,0,0,0,0,0,0,1,0,1,1992-93,2016-17,4,7
17,Sunderland,16,608,153,159,296,612,904,-292,618,1.016,0,0,0,0,0,0,2,0,2,1996-97,2016-17,4,7
18,Crystal Palace,14,540,156,141,243,587,775,-188,609,1.128,0,0,0,0,0,0,0,0,0,1992-93,2013-14,4,10
19,Bolton Wanderers,13,494,149,128,217,575,745,-170,575,1.164,0,0,0,0,0,1,1,0,2,1995-96,2011-12,3,6
20,West Bromwich Albion,13,494,117,139,238,510,772,-262,490,0.992,0,0,0,0,0,0,0,0,0,2002-03,2020-21,5,8
21,Stoke City,10,380,116,109,155,398,525,-127,457,1.203,0,0,0,0,0,0,0,0,0,2008-09,2017-18,1,9
22,Coventry City,9,354,99,112,143,387,490,-103,409,1.155,0,0,0,0,0,0,0,0,0,1992-93,2000-01,1,11
23,Norwich City,10,392,99,105,188,414,669,-255,402,1.026,0,0,1,0,0,0,0,1,1,1992-93,2021-22,6,3
24,Sheffield Wednesday,8,316,101,89,126,409,453,-44,392,1.241,0,0,0,0,0,0,3,0,3,1992-93,1999-2000,1,7
25,Wimbledon[h],8,316,99,94,123,384,472,-88,391,1.237,0,0,0,0,0,1,0,0,1,1992-93,1999-2000,1,6
26,Wolverhampton Wanderers,9,342,101,86,155,359,520,-161,389,1.137,0,0,0,0,0,0,2,0,2,2003-04,2018-19,2,7
27,Charlton Athletic,8,304,93,82,129,342,442,-100,361,1.188,0,0,0,0,0,0,1,0,1,1998-99,2006-07,2,7
28,Wigan Athletic,8,304,85,76,143,316,482,-166,331,1.089,0,0,0,0,0,0,0,0,0,2005-06,2012-13,1,10
29,Burnley,8,304,83,76,145,300,455,-155,325,1.069,0,0,0,0,0,0,1,0,1,2009-10,2023-24,3,7
30,Swansea City,7,266,82,66,118,306,383,-77,312,1.173,0,0,0,0,0,0,0,0,0,2011-12,2017-18,1,8
31,Queens Park Rangers,7,278,81,65,132,339,431,-92,308,1.108,0,0,0,0,1,0,0,0,1,1992-93,2014-15,3,5
32,Birmingham City,7,266,73,82,111,273,360,-87,301,1.132,0,0,0,0,0,0,0,0,0,2002-03,2010-11,3,9
33,Portsmouth,7,266,79,65,122,292,380,-88,293,1.102,0,0,0,0,0,0,0,0,0,2003-04,2009-10,1,8
34,Watford,8,304,73,66,165,310,518,-208,285,0.938,0,0,0,0,0,0,0,0,0,1999-2000,2021-22,4,11
35,Nottingham Forest,6,236,69,70,97,267,355,-88,277,1.174,0,0,1,0,0,0,0,1,1,1992-93,2022-23,3,3
36,Derby County,7,266,68,70,128,271,420,-149,274,1.03,0,0,0,0,0,0,0,0,0,1996-97,2007-08,2,8
37,Brighton & Hove Albion,6,228,66,73,89,262,311,-49,271,1.1898,0,0,0,0,0,1,0,0,1,2017-18,2017-18,0,6
38,Bournemouth,6,228,67,49,112,278,401,-123,250,1.096,0,0,0,0,0,0,0,0,0,2015-16,2022-23,1,9
39,Ipswich Town,5,202,57,53,92,219,312,-93,224,1.109,0,0,0,0,1,0,0,0,1,1992-93,2001-02,2,5
40,Sheffield United,5,198,53,50,95,187,270,-83,209,1.056,0,0,0,0,0,0,0,0,0,1992-93,2023-24,3,9
41,Hull City,5,190,41,48,101,181,323,-142,171,0.9,0,0,0,0,0,0,0,0,0,2008-09,2016-17,3,16
42,Reading,3,114,32,23,59,136,186,-50,119,1.044,0,0,0,0,0,0,0,0,0,2006-07,2012-13,2,8
43,Brentford,2,76,28,21,27,106,102,4,105,1.382,0,0,0,0,0,0,0,0,0,2021-22,2021-22,0,9
44,Oldham Athletic,2,84,22,23,39,105,142,-37,89,1.06,0,0,0,0,0,0,0,0,0,1992-93,1993-94,1,19
45,Cardiff City,2,76,17,13,46,66,143,-77,64,0.842,0,0,0,0,0,0,0,0,0,2013-14,2018-19,2,18
46,Bradford City,2,76,14,20,42,68,138,-70,62,0.816,0,0,0,0,0,0,0,0,0,1999-2000,2000-01,1,17
47,Huddersfield Town,2,76,12,17,47,50,134,-84,53,0.697,0,0,0,0,0,0,0,0,0,2017-18,2018-19,1,16
48,Blackpool,1,38,10,9,19,55,78,-23,39,1.026,0,0,0,0,0,0,0,0,0,2010-11,2010-11,1,19
49,Barnsley,1,38,10,5,23,37,82,-45,35,0.921,0,0,0,0,0,0,0,0,0,1997-98,1997-98,1,19
50,Swindon Town,1,42,5,15,22,47,100,-53,30,0.714,0,0,0,0,0,0,0,0,0,1993-94,1993-94,1,22
51,Luton Town,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2023-24,2023-24,0,TBD
